rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at
13,Excelente,100,CI&T,"[Job- 29178] Senior Frontend Developer React, Brasil",<https://himalayas.app/companies/ci-t/jobs/job-29178-senior-frontend-developer-react-brasil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,javascript; typescript; reactjs; node; platform; api; java,2026-05-08T12:13:53.000Z
14,Excelente,100,CI&T,"[Job 29270] Senior Front End (React) Developer, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29270-senior-front-end-react-developer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,reactjs; backend; go,2026-05-08T10:21:46.000Z
15,Excelente,100,CI&T,[Job-29200] Arquiteto de Software Senior (.NET/React),<https://himalayas.app/companies/ci-t/jobs/job-29200-arquiteto-de-software-senior-net-react>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Architect,reactjs; microservices; node; architecture; cloud; platform; java,2026-05-07T14:29:42.000Z
16,Excelente,95,AssemblyAI,"Senior Software Engineer, Streaming",<https://himalayas.app/companies/assemblyai/jobs/senior-software-engineer-streaming>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Senior,backend; api; go,2026-05-08T15:31:26.000Z
17,Boa,67,Twilio,Senior Software Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7747554>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Senior,aws; gcp; azure; distributed systems; architecture; cloud; platform; backend; api; go; java,2026-03-27T12:39:30.000Z
18,Otima,71,CommandLink,Senior Network Engineer,<https://himalayas.app/companies/ats-rippling/jobs/senior-network-engineer-4518034183>,himalayas,"Remote / Argentina, Brazil, Chile, Colombia, Ireland, Mexico, Philippines, United Kingdom",Brazil-friendly remote,brazil_friendly,Senior,platform,2026-05-08T14:49:38.000Z
19,Boa,67,Twilio,"Staff Engineer, Offensive Security",<https://job-boards.greenhouse.io/twilio/jobs/7622285>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Staff,aws; azure; kubernetes; architecture; cloud; api; python,2026-03-03T11:02:38.000Z
20,Boa,67,Twilio,Senior Infrastructure Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7474040>,greenhouse,Remote - US,worldwide-compatible remote,international,Senior,aws; terraform; kubernetes; docker; distributed systems; architecture; cloud; platform; api,2026-01-07T22:32:48.000Z
21,Otima,70,Performance Development Group,Full Time Solution Architect,<https://himalayas.app/companies/performance-development-group/jobs/full-time-solution-architect>,himalayas,Remote,worldwide-compatible remote,international,Architect,reactjs; architecture; go,2026-05-08T04:05:55.000Z
22,Otima,70,Twilio,"Staff Enterprise Security Engineer, AI Security",<https://job-boards.greenhouse.io/twilio/jobs/7904291>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Staff,aws; gcp; kubernetes; architecture; cloud; platform; api; go; python; java,2026-05-08T08:52:04.000Z
23,Boa,63,Twilio,"Staff Engineer, AI Security",<https://job-boards.greenhouse.io/twilio/jobs/7821462>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Staff,aws; api; go; python,2026-04-17T15:25:27.000Z
24,Boa,60,Twilio,Staff Software Engineer (L4) Data Platform,<https://job-boards.greenhouse.io/twilio/jobs/7782805>,greenhouse,Remote - US,worldwide-compatible remote,international,Staff,aws; distributed systems; architecture; platform; api; python; java,2026-04-06T22:00:59.000Z
25,Boa,65,Twilio,"Senior Engineer, Security Automation",<https://job-boards.greenhouse.io/twilio/jobs/7206764>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Senior,terraform; kubernetes; docker; cloud; platform; api; go; python,2025-10-01T16:28:25.000Z
26,Boa,64,Twilio,Senior Software Engineer- Video Signalling ,<https://job-boards.greenhouse.io/twilio/jobs/7394811>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Senior,aws; azure; distributed systems; cloud; platform; api; go; java,2025-11-14T09:26:27.000Z
27,Boa,56,Empower,Senior Software Engineer,<https://himalayas.app/companies/empower-com/jobs/senior-software-engineer-1229004091>,himalayas,"Remote / Australia, Brazil, Canada, China, France, Germany, India, Japan, United Kingdom, United States",Brazil-friendly remote,brazil_friendly,Senior,aws; architecture; cloud; platform; backend; api; java,2026-05-07T14:35:50.000Z
28,Boa,56,Twilio,Staff Analytics Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7551660>,greenhouse,Remote - US,worldwide-compatible remote,international,Staff,aws; api; python,2026-01-21T16:11:38.000Z
29,Boa,56,Twilio,Senior Software Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7595407>,greenhouse,Remote - US,worldwide-compatible remote,international,Senior,javascript; architecture; platform; api; go; java,2026-02-19T18:50:01.000Z
