rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at
19,Excelente,100,Mixrank,"Software Engineer - Remote (Global), Full-Time",<https://himalayas.app/companies/mixrank/jobs/software-engineer-remote-global-full-time>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,javascript; typescript; postgres; backend; go; python; java,2026-04-24T21:54:04.000Z
20,Excelente,100,wex,Software Backend Engineer 3,<https://himalayas.app/companies/wex/jobs/software-backend-engineer-3>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; microservices; kubernetes; architecture; cloud; backend; api; go; java,2026-04-23T17:18:49.000Z
21,Excelente,96,Optimal Dynamics,OR Software Engineer,<https://himalayas.app/companies/optimal-dynamics/jobs/or-software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,aws; azure; docker; cloud; platform; api; go; python; java,2026-04-28T16:30:38.000Z
22,Otima,71,Twilio,Software Engineer ,<https://job-boards.greenhouse.io/twilio/jobs/7785202>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Mid-level / Pleno,aws; terraform; postgres; gcp; distributed systems; architecture; cloud; backend; api; java,2026-04-17T16:48:40.000Z
23,Otima,71,Twilio,Cloud Software Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7484699>,greenhouse,Remote - Ireland,worldwide-compatible remote,international,Mid-level / Pleno,aws; terraform; microservices; architecture; cloud; platform; api; python; java,2026-01-12T17:33:35.000Z
24,Otima,80,Renewed Vision,macOS Software Engineer,<https://himalayas.app/companies/renewed-vision/jobs/macos-software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,cloud; platform,2026-04-27T06:53:42.000Z
25,Boa,64,Twilio,Software Engineer (L2),<https://job-boards.greenhouse.io/twilio/jobs/7188174>,greenhouse,Remote - US,worldwide-compatible remote,international,Mid-level / Pleno,aws; terraform; kubernetes; docker; distributed systems; architecture; cloud; platform; api; go; java,2025-08-27T16:25:33.000Z
26,Boa,62,Twilio,Software Engineer,<https://job-boards.greenhouse.io/twilio/jobs/7699251>,greenhouse,Remote - Estonia,worldwide-compatible remote,international,Mid-level / Pleno,aws; azure; kubernetes; docker; distributed systems; architecture; cloud; platform; api; go; java,2026-03-16T12:40:55.000Z
27,Boa,58,Twilio,Software Engineer (L3),<https://job-boards.greenhouse.io/twilio/jobs/7301401>,greenhouse,Remote - US,worldwide-compatible remote,international,Mid-level / Pleno,aws; gcp; kubernetes; docker; distributed systems; cloud; platform; api; go; java,2025-10-07T15:23:32.000Z
28,Boa,58,Twilio,Software Engineer - Video,<https://job-boards.greenhouse.io/twilio/jobs/7661919>,greenhouse,Remote - US,worldwide-compatible remote,international,Mid-level / Pleno,aws; gcp; azure; distributed systems; architecture; cloud; platform; backend; api; go; java,2026-02-27T16:24:08.000Z
